Date,Open,High,Low,Close,Volume
15-Jan-15,8551.93,8564.56,8449.15,8458.72,276394387
14-Jan-15,8491.68,8569.54,8490.93,8551.93,297994213
13-Jan-15,8436.71,8503.49,8268.50,8491.68,292832164
12-Jan-15,8445.13,8498.40,8388.98,8436.71,337010527
11-Jan-15,8284.89,8451.01,8277.20,8445.13,260558897
8-Jan-15,8133.39,8335.34,8133.39,8284.89,316143073
7-Jan-15,8057.43,8208.70,7986.06,8133.39,370713519
6-Jan-15,8106.80,8106.80,7770.17,8057.43,310952325
5-Jan-15,8356.93,8356.93,8102.65,8106.80,243970089
4-Jan-15,8409.54,8418.56,8346.56,8356.93,346992984
1-Jan-15,8333.30,8452.37,8297.71,8409.54,287862699
31-Dec-14,8486.58,8607.84,8042.23,8333.30,432285025
30-Dec-14,8855.35,8855.35,8462.82,8486.58,360370097
29-Dec-14,8856.38,8948.52,8838.35,8855.35,425878140
28-Dec-14,8749.34,8863.20,8742.84,8856.38,337155072
25-Dec-14,8699.78,8811.31,8649.65,8749.34,373919745
24-Dec-14,8546.70,8814.38,8546.70,8699.78,390404306
23-Dec-14,8546.87,8573.49,8492.60,8546.70,255411917
22-Dec-14,8525.39,8588.37,8399.73,8546.87,353757050
21-Dec-14,8320.55,8739.57,8282.23,8525.39,437692362
18-Dec-14,7638.90,8332.61,7638.90,8320.55,355839769
17-Dec-14,7330.30,7681.50,7225.83,7638.90,360006091
16-Dec-14,7904.91,7904.91,7275.05,7330.30,285846150
15-Dec-14,8119.08,8266.35,7847.95,7904.91,239961024
14-Dec-14,8393.92,8393.92,8044.65,8119.08,230523968
11-Dec-14,8410.98,8413.02,8158.05,8393.92,260653145
10-Dec-14,8625.31,8643.68,8395.02,8410.98,187682159
9-Dec-14,8785.73,8785.73,8496.14,8625.31,246261822
8-Dec-14,8941.45,8941.45,8784.48,8785.73,195928281
7-Dec-14,8957.63,8961.85,8883.41,8941.45,247730932
4-Dec-14,8801.68,8959.70,8801.68,8957.63,244161344
3-Dec-14,8742.57,8802.92,8714.99,8801.68,227879766
2-Dec-14,8720.42,8867.65,8720.42,8742.57,222183943
1-Dec-14,8624.89,8774.74,8529.50,8720.42,298929060
30-Nov-14,9055.63,9055.63,8482.50,8624.89,220974170
27-Nov-14,9081.27,9104.41,8956.17,9055.63,201167348
26-Nov-14,9234.03,9234.03,8922.32,9081.27,227901085
25-Nov-14,9404.76,9404.76,9213.06,9234.03,188772980
24-Nov-14,9515.63,9535.12,9399.10,9404.76,212141721
23-Nov-14,9408.83,9556.00,9408.83,9515.63,204512425
20-Nov-14,9383.79,9427.56,9375.20,9408.83,162738536
19-Nov-14,9374.68,9417.35,9320.25,9383.79,181806775
18-Nov-14,9289.55,9390.78,9285.29,9374.68,178188818
17-Nov-14,9553.81,9553.81,9224.18,9289.55,195954509
16-Nov-14,9681.66,9683.45,9525.46,9553.81,162531116
13-Nov-14,9766.01,9766.71,9657.68,9681.66,181672176
12-Nov-14,9768.05,9832.74,9751.39,9766.01,204252098
11-Nov-14,9793.20,9814.88,9719.78,9768.05,253666385
10-Nov-14,9688.65,9796.97,9686.29,9793.20,183148293
9-Nov-14,9649.28,9689.89,9593.91,9688.65,203179173
6-Nov-14,9628.84,9665.96,9583.12,9649.28,183112844
5-Nov-14,9784.57,9784.57,9436.38,9628.84,227178332
4-Nov-14,10141.67,10141.67,9750.72,9784.57,239956122
3-Nov-14,10099.27,10142.82,10075.68,10141.67,158882019
2-Nov-14,10034.92,10172.15,10034.92,10099.27,156664408
30-Oct-14,10081.96,10081.96,9925.37,10034.92,186497187
29-Oct-14,10163.66,10216.57,10076.05,10081.96,213220741
28-Oct-14,10194.42,10216.24,10119.59,10163.66,202667668
27-Oct-14,10313.96,10358.89,10194.28,10194.42,210253538
26-Oct-14,10165.33,10313.96,10130.29,10313.96,229551618
23-Oct-14,10206.19,10206.19,10041.15,10165.33,215297268
22-Oct-14,10136.46,10267.50,10104.22,10206.19,279105759
21-Oct-14,9882.36,10147.21,9882.36,10136.46,283702399
20-Oct-14,9775.32,9887.18,9758.33,9882.36,241072383
19-Oct-14,9547.54,9942.61,9547.54,9775.32,252404092
16-Oct-14,9903.00,9903.00,9340.62,9547.54,311180384
15-Oct-14,10177.11,10177.11,9893.41,9903.00,221370166
14-Oct-14,10377.94,10377.94,10071.76,10177.11,209005092
13-Oct-14,10145.38,10383.35,10112.02,10377.94,226479082
12-Oct-14,10851.48,10851.48,10123.54,10145.38,254053317
2-Oct-14,10849.61,10860.81,10732.59,10851.48,182743498
1-Oct-14,10854.79,10868.92,10813.72,10849.61,153818470
30-Sep-14,10757.41,10861.44,10757.41,10854.79,177245048
29-Sep-14,10674.17,10757.84,10633.38,10757.41,168038891
28-Sep-14,10765.02,10782.75,10633.46,10674.17,181283582
25-Sep-14,10720.51,10811.49,10718.66,10765.02,207986519
24-Sep-14,10874.82,10875.61,10614.08,10720.51,316919074
22-Sep-14,11010.68,11010.68,10822.80,10874.82,264258982
21-Sep-14,11062.37,11081.76,10977.95,11010.68,266629915
18-Sep-14,11080.91,11105.24,11053.40,11062.37,226995654
17-Sep-14,10993.35,11097.72,10993.35,11080.91,259004551
16-Sep-14,10932.73,11016.83,10931.60,10993.35,277304056
15-Sep-14,11026.96,11047.02,10910.91,10932.73,278439383
14-Sep-14,11063.14,11125.63,11015.00,11026.96,299240153
11-Sep-14,11126.01,11148.66,11050.93,11063.14,353686725
10-Sep-14,11149.36,11154.29,11082.93,11126.01,368872347
9-Sep-14,11143.82,11159.50,11129.67,11149.36,294064599
8-Sep-14,11135.96,11150.36,11104.75,11143.82,276442504
7-Sep-14,11068.83,11141.02,11068.72,11135.96,285397353
4-Sep-14,11061.14,11073.05,11009.71,11068.83,324043998
3-Sep-14,11048.19,11099.33,11026.91,11061.14,331472055
2-Sep-14,11116.75,11116.75,11026.15,11048.19,294208603
1-Sep-14,11112.12,11138.41,11060.87,11116.75,333995819
31-Aug-14,11042.03,11114.91,11041.54,11112.12,315616443
28-Aug-14,11029.95,11070.70,11001.19,11042.03,309440119
27-Aug-14,10939.84,11031.47,10939.84,11029.95,473800901
26-Aug-14,10842.78,10943.75,10817.93,10939.84,342021546
25-Aug-14,10903.04,11051.03,10797.83,10842.78,489792103
24-Aug-14,10734.76,10905.36,10734.76,10903.04,282223354
21-Aug-14,10716.24,10745.73,10712.42,10734.76,214721728
20-Aug-14,10659.56,10741.71,10653.97,10716.24,267791217
19-Aug-14,10650.09,10668.56,10638.84,10659.56,235533737
18-Aug-14,10639.04,10682.50,10628.69,10650.09,259972381
17-Aug-14,10588.26,10652.69,10583.15,10639.04,232738321
14-Aug-14,10593.10,10626.01,10575.33,10588.26,235623044
13-Aug-14,10588.89,10641.64,10572.70,10593.10,209185867
12-Aug-14,10596.55,10608.04,10553.50,10588.89,205976709
11-Aug-14,10579.12,10603.30,10547.21,10596.55,197234714
10-Aug-14,10552.48,10614.11,10551.77,10579.12,199773735
7-Aug-14,10478.34,10585.38,10478.34,10552.48,202329194
6-Aug-14,10450.52,10494.12,10398.25,10478.34,192868941
5-Aug-14,10405.81,10501.38,10405.81,10450.52,287651475
4-Aug-14,10302.88,10409.47,10290.95,10405.81,223099538
3-Aug-14,10214.73,10313.46,10177.05,10302.88,184827472
23-Jul-14,10025.14,10187.19,10024.01,10162.73,234074400
22-Jul-14,9750.02,10068.63,9750.02,10025.14,331091103
21-Jul-14,9736.79,9763.59,9712.90,9750.02,138470862
20-Jul-14,9786.58,9788.17,9705.81,9736.79,156173158
17-Jul-14,9810.81,9816.46,9766.66,9786.58,188316448
16-Jul-14,9798.33,9818.18,9784.61,9810.81,170710528
15-Jul-14,9808.04,9827.88,9789.89,9798.33,128263739
14-Jul-14,9812.50,9816.71,9780.85,9808.04,171288505
13-Jul-14,9803.29,9833.31,9774.55,9812.50,138688896
10-Jul-14,9787.41,9817.79,9787.41,9803.29,118349145
9-Jul-14,9779.60,9788.97,9760.32,9787.41,126669097
8-Jul-14,9789.52,9797.74,9753.66,9779.60,140657715
7-Jul-14,9752.16,9794.65,9748.04,9789.52,142701118
6-Jul-14,9687.94,9757.94,9684.27,9752.16,162732383
3-Jul-14,9678.51,9692.61,9646.86,9687.94,191817980
2-Jul-14,9584.31,9685.99,9583.99,9678.51,169504555
1-Jul-14,9513.02,9585.04,9508.04,9584.31,139117699
30-Jun-14,9513.71,9533.72,9470.27,9513.02,140008676
29-Jun-14,9569.49,9569.49,9484.49,9513.71,118402593
26-Jun-14,9581.03,9591.54,9553.86,9569.49,206128435
25-Jun-14,9522.10,9581.31,9522.10,9581.03,203652026
24-Jun-14,9553.56,9556.02,9412.93,9522.10,222610084
23-Jun-14,9657.41,9657.41,9488.18,9553.56,220846732
22-Jun-14,9648.26,9704.08,9608.69,9657.41,188114847
19-Jun-14,9639.05,9668.74,9616.33,9648.26,166628695
18-Jun-14,9574.51,9643.57,9565.30,9639.05,196461449
17-Jun-14,9523.18,9577.61,9430.13,9574.51,285129621
16-Jun-14,9716.99,9719.64,9515.43,9523.18,265665334
15-Jun-14,9826.67,9826.67,9672.05,9716.99,226665606
12-Jun-14,9871.68,9875.61,9799.97,9826.67,211634782
11-Jun-14,9905.68,9907.09,9852.32,9871.68,207170306
10-Jun-14,9892.12,9933.92,9873.17,9905.68,285694960
9-Jun-14,9853.51,9895.20,9814.51,9892.12,226396673
8-Jun-14,9860.41,9889.97,9716.44,9853.51,328189322
5-Jun-14,9856.52,9881.55,9851.03,9860.41,233388779
4-Jun-14,9838.86,9862.24,9813.92,9856.52,222599884
3-Jun-14,9864.61,9867.06,9826.82,9838.86,261480599
2-Jun-14,9864.68,9871.97,9821.92,9864.61,272155141
1-Jun-14,9823.40,9881.23,9821.37,9864.68,253057199
29-May-14,9798.45,9870.76,9760.76,9823.40,402058570
28-May-14,9830.19,9839.53,9778.06,9798.45,329822992
27-May-14,9821.53,9868.65,9818.50,9830.19,344032514
26-May-14,9772.48,9827.08,9772.48,9821.53,349523852
25-May-14,9750.90,9780.72,9690.02,9772.48,373689863
22-May-14,9765.82,9793.73,9749.35,9750.90,422861928
21-May-14,9731.47,9765.82,9719.85,9765.82,379207298
20-May-14,9724.75,9765.79,9699.27,9731.47,362718970
19-May-14,9809.81,9819.02,9680.16,9724.75,561545591
18-May-14,9807.37,9821.76,9797.09,9809.81,433580843
15-May-14,9819.89,9826.60,9794.03,9807.37,422344052
14-May-14,9816.19,9825.86,9793.78,9819.89,374455055
13-May-14,9775.85,9830.76,9775.85,9816.19,360819797
12-May-14,9765.48,9781.94,9741.62,9775.85,302777584
11-May-14,9787.03,9814.70,9738.42,9765.48,323502683
8-May-14,9745.09,9808.30,9745.09,9787.03,313861002
7-May-14,9744.12,9751.25,9710.11,9745.09,306605312
6-May-14,9740.83,9798.62,9727.59,9744.12,304902122
5-May-14,9755.35,9767.53,9717.76,9740.83,279606660
4-May-14,9660.13,9770.88,9660.13,9755.35,393845803
1-May-14,9585.22,9671.81,9568.90,9660.13,310321102
30-Apr-14,9562.93,9597.38,9555.21,9585.22,289539897
29-Apr-14,9575.54,9611.32,9556.03,9562.93,315222553
28-Apr-14,9574.86,9594.68,9555.22,9575.54,336497719
27-Apr-14,9556.64,9580.86,9546.32,9574.86,314015117
24-Apr-14,9546.27,9565.70,9508.39,9556.64,363704443
23-Apr-14,9606.58,9620.55,9528.30,9546.27,453709466
22-Apr-14,9617.76,9623.43,9563.53,9606.58,332569075
21-Apr-14,9636.17,9663.68,9600.67,9617.76,358942212
20-Apr-14,9530.58,9639.82,9527.12,9636.17,358010917
17-Apr-14,9504.33,9535.13,9489.60,9530.58,342063958
16-Apr-14,9505.03,9524.60,9487.22,9504.33,318130725
15-Apr-14,9445.69,9505.37,9445.69,9505.03,321243212
14-Apr-14,9424.95,9448.65,9385.41,9445.69,308630872
13-Apr-14,9508.57,9508.57,9398.87,9424.95,261375219
10-Apr-14,9543.11,9566.78,9476.32,9508.57,310520540
9-Apr-14,9565.28,9613.12,9490.15,9543.11,485613986
8-Apr-14,9507.58,9566.68,9497.73,9565.28,360428764
7-Apr-14,9531.40,9532.20,9444.76,9507.58,300703754
6-Apr-14,9558.46,9576.70,9524.28,9531.40,282853808
3-Apr-14,9537.83,9572.86,9537.83,9558.46,270750543
2-Apr-14,9516.17,9547.09,9505.08,9537.83,269353722
1-Apr-14,9473.71,9516.23,9465.51,9516.17,244381062
31-Mar-14,9462.98,9474.34,9419.87,9473.71,249822976
30-Mar-14,9423.08,9462.98,9423.08,9462.98,250578571
27-Mar-14,9449.92,9453.47,9396.63,9423.08,272963148
26-Mar-14,9433.63,9450.08,9421.88,9449.92,257232285
25-Mar-14,9429.21,9437.91,9402.26,9433.63,240550452
24-Mar-14,9425.21,9461.20,9405.06,9429.21,280703592
23-Mar-14,9305.64,9428.12,9301.05,9425.21,300049710
20-Mar-14,9318.63,9319.77,9259.37,9305.64,270301961
19-Mar-14,9331.69,9346.38,9284.95,9318.63,256404705
18-Mar-14,9368.03,9401.95,9315.07,9331.69,333523893
17-Mar-14,9378.87,9390.64,9356.16,9368.03,258213652
16-Mar-14,9386.08,9395.08,9341.09,9378.87,282557499
13-Mar-14,9351.11,9406.83,9342.09,9386.08,250025997
12-Mar-14,9354.55,9354.55,9293.49,9351.11,296404644
11-Mar-14,9343.78,9376.21,9313.40,9354.55,304701432
10-Mar-14,9350.60,9362.48,9297.45,9343.78,442783162
9-Mar-14,9248.82,9355.13,9248.71,9350.60,454201446
6-Mar-14,9161.33,9251.88,9161.33,9248.82,303958764
5-Mar-14,9148.73,9207.24,9098.22,9161.33,424686998
4-Mar-14,9019.98,9148.89,9019.98,9148.73,369764766
3-Mar-14,9088.68,9088.68,8971.56,9019.98,341696809
2-Mar-14,9106.55,9137.58,9045.74,9088.68,313325702
27-Feb-14,9058.54,9111.72,9054.71,9106.55,248912965
26-Feb-14,9061.93,9069.53,9042.57,9058.54,317946668
25-Feb-14,9057.08,9086.22,9020.74,9061.93,304921051
24-Feb-14,9023.42,9059.45,9019.25,9057.08,309682418
23-Feb-14,8988.87,9036.14,8988.87,9023.42,263868721
20-Feb-14,8967.62,8993.26,8952.05,8988.87,287186596
19-Feb-14,8956.86,8977.02,8939.44,8967.62,266242308
18-Feb-14,8939.88,8979.02,8936.67,8956.86,204979406
17-Feb-14,8970.44,8983.88,8919.02,8939.88,216443408
13-Feb-14,8912.58,8935.97,8912.58,8929.60,200679503
12-Feb-14,8859.20,8917.19,8858.05,8912.58,204638954
11-Feb-14,8873.95,8879.84,8844.59,8859.20,226839806
10-Feb-14,8865.80,8876.62,8841.87,8873.95,190799052
9-Feb-14,8819.31,8901.50,8819.31,8865.80,241055519
6-Feb-14,8792.80,8825.07,8788.04,8819.31,196206061
5-Feb-14,8768.90,8799.80,8759.53,8792.80,228546539
4-Feb-14,8806.92,8806.92,8692.48,8768.90,260627392
3-Feb-14,8835.12,8848.96,8800.10,8806.92,253261301
2-Feb-14,8760.62,8843.41,8760.62,8835.12,258051569
30-Jan-14,8704.21,8760.62,8680.56,8760.62,232086851
29-Jan-14,8656.11,8742.63,8656.11,8704.21,216870522
28-Jan-14,8655.01,8700.42,8636.55,8656.11,180241644
27-Jan-14,8735.59,8746.27,8649.25,8655.01,210113617
26-Jan-14,8771.99,8771.99,8609.68,8735.59,204320457
23-Jan-14,8761.16,8803.73,8757.94,8771.99,179214758
22-Jan-14,8734.49,8789.35,8705.92,8761.16,231372635
21-Jan-14,8727.78,8743.73,8656.26,8734.49,223179766
20-Jan-14,8739.73,8749.61,8720.67,8727.78,184185680
19-Jan-14,8761.06,8761.30,8659.83,8739.73,211629263
